Stock,FC_Year,ModelLabel,Age,PointFC,AvgRankByAge,p10,p25,p50,p75,p90,System
Bonneville Lock & Dam,2022,TimeSeriesExpSmoothBC,Age 4,229349,7,42744,81808,189397,373520,631943,Columbia River
Bonneville Lock & Dam,2022,TimeSeriesExpSmoothBC,Age 5,15110,7.166666666666667,3038,5536,13281,29856,48330,Columbia River
Bonneville Lock & Dam,2022,TimeSeriesExpSmoothBC,Total,256106,7,67428,120170,220702,377362,546012,Columbia River
Bonneville Lock & Dam,2022,TimeSeriesExpSmoothNoBC,Age 3,21771,6.5,1909,5038,17706,52729,132000,Columbia River
Bonneville Lock & Dam,2022,TimeSeriesExpSmoothNoBC,Age 4,195308,5.25,32832,75856,156819,298736,516409,Columbia River
Bonneville Lock & Dam,2022,TimeSeriesExpSmoothNoBC,Age 5,15674,7.166666666666667,3212,6152,13668,30608,47284,Columbia River
Bonneville Lock & Dam,2022,TimeSeriesExpSmoothNoBC,Total,232754,5.583333333333333,62969,108160,184967,326828,507774,Columbia River
Bonneville Lock & Dam,2023,Naive4,Age 3,22938,5.166666666666667,1648,5280,16422,46238,103915,Columbia River
Bonneville Lock & Dam,2023,Naive4,Age 4,271047,5.916666666666667,49601,102082,221493,414226,657053,Columbia River
Bonneville Lock & Dam,2023,Naive4,Age 5,10956,6.833333333333333,2251,5194,10488,19596,32297,Columbia River
Bonneville Lock & Dam,2023,Naive4,Total,304941,6.166666666666667,86860,156907,269394,444598,622628,Columbia River
Bonneville Lock & Dam,2023,Naive8,Age 3,13376,2,1561,4057,10204,26149,59948,Columbia River
Bonneville Lock & Dam,2023,Naive8,Age 4,262089,5.166666666666667,52200,95497,230677,428858,732391,Columbia River
Bonneville Lock & Dam,2023,Naive8,Age 5,18825,4.916666666666667,3687,8348,16906,34463,57107,Columbia River
Bonneville Lock & Dam,2023,Naive8,Total,294290,5.583333333333333,80324,160931,255417,480774,658073,Columbia River
Bonneville Lock & Dam,2023,SibRegSimple,Age 3,18490,3.6666666666666665,2250,5700,16024,37664,77344,Columbia River
Bonneville Lock & Dam,2023,SibRegSimple,Age 4,117710,3.6666666666666665,28929,50390,101104,177847,260006,Columbia River
Bonneville Lock & Dam,2023,SibRegSimple,Age 5,51276,2.8333333333333335,20611,32419,51321,80904,110788,Columbia River
Bonneville Lock & Dam,2023,SibRegSimple,Total,187476,4.5,76065,112756,171491,246630,300143,Columbia River
Bonneville Lock & Dam,2023,SibRegLogPower,Age 3,18490,3.6666666666666665,2340,5530,17293,44519,100980,Columbia River
Bonneville Lock & Dam,2023,SibRegLogPower,Age 4,202133,2.3333333333333335,78434,121675,186290,280562,378091,Columbia River
Bonneville Lock & Dam,2023,SibRegLogPower,Age 5,48498,4.166666666666667,18391,28591,45007,67618,94481,Columbia River
Bonneville Lock & Dam,2023,SibRegLogPower,Total,269121,2.1666666666666665,123914,183707,242112,310934,375133,Columbia River
Bonneville Lock & Dam,2023,SibRegKalman,Age 3,18490,3.6666666666666665,2070,5766,15196,44168,84806,Columbia River
Bonneville Lock & Dam,2023,SibRegKalman,Age 4,217171,2.1666666666666665,60675,105702,190939,335136,524068,Columbia River
Bonneville Lock & Dam,2023,SibRegKalman,Age 5,43201,2.5,14956,24231,38242,58176,86345,Columbia River
Bonneville Lock & Dam,2023,SibRegKalman,Total,278862,2.1666666666666665,112706,172138,268664,393766,521207,Columbia River
Bonneville Lock & Dam,2023,TimeSeriesArimaBC,Age 3,25866,7.166666666666667,2630,7140,20959,55988,125581,Columbia River
Bonneville Lock & Dam,2023,TimeSeriesArimaBC,Age 4,334398,7.75,56646,119590,286127,634150,1052132,Columbia River
Bonneville Lock & Dam,2023,TimeSeriesArimaBC,Age 5,14318,4.25,3674,7194,14186,27188,39824,Columbia River
Bonneville Lock & Dam,2023,TimeSeriesArimaBC,Total,374581,7.666666666666667,94777,163779,331259,597648,962881,Columbia River
Bonneville Lock & Dam,2023,TimeSeriesArimaNoBC,Age 3,18646,8,350,2430,12975,53716,173197,Columbia River
Bonneville Lock & Dam,2023,TimeSeriesArimaNoBC,Age 4,210213,5,45310,87058,181535,386188,625024,Columbia River
Bonneville Lock & Dam,2023,TimeSeriesArimaNoBC,Age 5,14913,5.5,3329,6553,13783,25830,45593,Columbia River
Bonneville Lock & Dam,2023,TimeSeriesArimaNoBC,Total,243773,3.8333333333333335,75387,118330,202928,363957,526084,Columbia River
Bonneville Lock & Dam,2023,TimeSeriesExpSmoothBC,Age 3,23895,5.166666666666667,1945,5860,16907,48676,93361,Columbia River
Bonneville Lock & Dam,2023,TimeSeriesExpSmoothBC,Age 4,326825,7.166666666666667,77914,148176,297427,588560,1025947,Columbia River
Bonneville Lock & Dam,2023,TimeSeriesExpSmoothBC,Age 5,14387,6.833333333333333,2725,5600,11663,24930,45105,Columbia River
Bonneville Lock & Dam,2023,TimeSeriesExpSmoothBC,Total,365107,7.166666666666667,88761,181834,347819,603987,836689,Columbia River
Bonneville Lock & Dam,2023,TimeSeriesExpSmoothNoBC,Age 3,13180,6.5,781,2648,11554,31506,72383,Columbia River
Bonneville Lock & Dam,2023,TimeSeriesExpSmoothNoBC,Age 4,283525,5.833333333333333,53506,112698,248715,526842,811184,Columbia River
Bonneville Lock & Dam,2023,TimeSeriesExpSmoothNoBC,Age 5,15772,7.166666666666667,3434,6253,13946,28869,50355,Columbia River
Bonneville Lock & Dam,2023,TimeSeriesExpSmoothNoBC,Total,312477,5.75,81555,152012,265523,440888,656093,Columbia River
Bonneville Lock & Dam,2024,Naive4,Age 3,21872,5.166666666666667,1907,5072,15999,43707,106187,Columbia River
Bonneville Lock & Dam,2024,Naive4,Age 4,327257,5.666666666666667,66312,139964,282714,548903,866745,Columbia River
Bonneville Lock & Dam,2024,Naive4,Age 5,21948,7,4454,8505,18899,37163,62690,Columbia River
Bonneville Lock & Dam,2024,Naive4,Total,371077,6,101745,177017,307435,523882,760172,Columbia River
Bonneville Lock & Dam,2024,Naive8,Age 3,17048,2.3333333333333335,1697,4119,12730,32376,64045,Columbia River
Bonneville Lock & Dam,2024,Naive8,Age 4,233336,5,48128,89174,180855,367632,597065,Columbia River
Bonneville Lock & Dam,2024,Naive8,Age 5,21012,4.666666666666667,5061,8724,18482,41590,68547,Columbia River
Bonneville Lock & Dam,2024,Naive8,Total,271396,5.5,78071,137378,234158,410420,564099,Columbia River
Bonneville Lock & Dam,2024,SibRegSimple,Age 3,24364,3.6666666666666665,3774,7926,18672,49159,100457,Columbia River
Bonneville Lock & Dam,2024,SibRegSimple,Age 4,273943,3.8333333333333335,72329,140810,242244,399158,658137,Columbia River
Bonneville Lock & Dam,2024,SibRegSimple,Age 5,19891,2.8333333333333335,7948,11658,18137,28967,36975,Columbia River
Bonneville Lock & Dam,2024,SibRegSimple,Total,318197,4.666666666666667,142606,209398,286096,388123,492895,Columbia River
Bonneville Lock & Dam,2024,SibRegLogPower,Age 3,24364,3.6666666666666665,2949,7010,18734,50417,107911,Columbia River
Bonneville Lock & Dam,2024,SibRegLogPower,Age 4,330051,2.1666666666666665,134951,193298,299980,454414,559976,Columbia River
Bonneville Lock & Dam,2024,SibRegLogPower,Age 5,28151,4.166666666666667,9994,15664,26371,40272,60450,Columbia River
Bonneville Lock & Dam,2024,SibRegLogPower,Total,382566,2.3333333333333335,200913,262372,348906,450716,547524,Columbia River
Bonneville Lock & Dam,2024,SibRegKalman,Age 3,24364,3.6666666666666665,3046,8975,21767,56318,106223,Columbia River
Bonneville Lock & Dam,2024,SibRegKalman,Age 4,328113,2.3333333333333335,94813,150664,261149,482353,700889,Columbia River
Bonneville Lock & Dam,2024,SibRegKalman,Age 5,21592,2.1666666666666665,8524,12777,19951,30618,40146,Columbia River
Bonneville Lock & Dam,2024,SibRegKalman,Total,374069,2,149635,232261,359006,519880,681208,Columbia River
Bonneville Lock & Dam,2024,TimeSeriesArimaBC,Age 3,60327,7.166666666666667,6467,17036,48165,118539,262932,Columbia River
Bonneville Lock & Dam,2024,TimeSeriesArimaBC,Age 4,385454,7.833333333333333,74427,166092,369978,691312,1328511,Columbia River
Bonneville Lock & Dam,2024,TimeSeriesArimaBC,Age 5,25440,4.666666666666667,5214,10482,22155,42353,74955,Columbia River
Bonneville Lock & Dam,2024,TimeSeriesArimaBC,Total,471221,7.5,121991,225309,392956,692572,1077473,Columbia River
Bonneville Lock & Dam,2024,TimeSeriesArimaNoBC,Age 3,20635,8,523,1910,13111,57102,226099,Columbia River
Bonneville Lock & Dam,2024,TimeSeriesArimaNoBC,Age 4,541700,5.25,106770,210772,455368,916401,1522994,Columbia River
Bonneville Lock & Dam,2024,TimeSeriesArimaNoBC,Age 5,27044,5.5,5704,11948,24289,52364,92171,Columbia River
Bonneville Lock & Dam,2024,TimeSeriesArimaNoBC,Total,589378,4.166666666666667,156234,274087,467085,795634,1192636,Columbia River
Bonneville Lock & Dam,2024,TimeSeriesExpSmoothBC,Age 3,43498,4.666666666666667,4240,13241,33836,102434,183116,Columbia River
Bonneville Lock & Dam,2024,TimeSeriesExpSmoothBC,Age 4,377007,7.166666666666667,80758,158381,320337,671254,978332,Columbia River
Bonneville Lock & Dam,2024,TimeSeriesExpSmoothBC,Age 5,20130,7,4240,8703,17600,34122,60044,Columbia River
Bonneville Lock & Dam,2024,TimeSeriesExpSmoothBC,Total,440635,7.166666666666667,134680,236474,406157,645004,961659,Columbia River
Bonneville Lock & Dam,2024,TimeSeriesExpSmoothNoBC,Age 3,14352,6.666666666666667,1183,3846,12011,35535,89429,Columbia River
Bonneville Lock & Dam,2024,TimeSeriesExpSmoothNoBC,Age 4,278140,5.75,49194,108026,231835,498068,776519,Columbia River
Bonneville Lock & Dam,2024,TimeSeriesExpSmoothNoBC,Age 5,19027,7,4179,7586,18031,36593,66965,Columbia River
Bonneville Lock & Dam,2024,TimeSeriesExpSmoothNoBC,Total,311519,5.666666666666667,80330,155959,290199,491317,763281,Columbia River
Bonneville Lock & Dam,2025,Naive4,Age 3,24058,4.833333333333333,2444,6888,21135,50400,110845,Columbia River
Bonneville Lock & Dam,2025,Naive4,Age 4,421830,5.833333333333333,97406,191182,359739,713160,1130469,Columbia River
Bonneville Lock & Dam,2025,Naive4,Age 5,28682,7,6196,11974,25455,53902,87084,Columbia River
Bonneville Lock & Dam,2025,Naive4,Total,474569,5.333333333333333,132935,222414,398077,633336,837554,Columbia River
Bonneville Lock & Dam,2025,Naive8,Age 3,18200,2.1666666666666665,1799,4716,14421,39988,80629,Columbia River
Bonneville Lock & Dam,2025,Naive8,Age 4,285115,6,62982,133205,246291,510590,791780,Columbia River
Bonneville Lock & Dam,2025,Naive8,Age 5,19731,4.916666666666667,4733,8070,16046,33434,56511,Columbia River
Bonneville Lock & Dam,2025,Naive8,Total,323047,6.333333333333333,97212,172827,314557,490674,708728,Columbia River
Bonneville Lock & Dam,2025,SibRegSimple,Age 3,19835,3.1666666666666665,1709,4956,14212,35808,69642,Columbia River
Bonneville Lock & Dam,2025,SibRegSimple,Age 4,116218,3.8333333333333335,33843,60141,107246,182038,259048,Columbia River
Bonneville Lock & Dam,2025,SibRegSimple,Age 5,57851,2.6666666666666665,22038,34428,51007,78518,105875,Columbia River
Bonneville Lock & Dam,2025,SibRegSimple,Total,193903,5.166666666666667,86047,123136,179436,252096,319037,Columbia River
Bonneville Lock & Dam,2025,SibRegLogPower,Age 3,19835,3.1666666666666665,2175,5593,16340,45174,82915,Columbia River
Bonneville Lock & Dam,2025,SibRegLogPower,Age 4,203779,2.1666666666666665,90080,125414,184625,271822,361921,Columbia River
Bonneville Lock & Dam,2025,SibRegLogPower,Age 5,53580,4.166666666666667,21581,31295,49255,73010,99231,Columbia River
Bonneville Lock & Dam,2025,SibRegLogPower,Total,277194,2.3333333333333335,151159,194414,254736,338444,402874,Columbia River
Bonneville Lock & Dam,2025,SibRegKalman,Age 3,19835,3.1666666666666665,2832,7296,16911,44088,74035,Columbia River
Bonneville Lock & Dam,2025,SibRegKalman,Age 4,282243,2.5,68673,137820,236101,379919,569216,Columbia River
Bonneville Lock & Dam,2025,SibRegKalman,Age 5,49944,2,18966,31742,48220,74206,103790,Columbia River
Bonneville Lock & Dam,2025,SibRegKalman,Total,352021,2,136614,194040,307920,448854,597180,Columbia River
Bonneville Lock & Dam,2025,TimeSeriesArimaBC,Age 3,31129,7.5,3368,8470,24368,70762,145864,Columbia River
Bonneville Lock & Dam,2025,TimeSeriesArimaBC,Age 4,494806,7.666666666666667,83788,179502,416790,822371,1364190,Columbia River
Bonneville Lock & Dam,2025,TimeSeriesArimaBC,Age 5,21422,4.75,5603,9944,19814,39821,56279,Columbia River
Bonneville Lock & Dam,2025,TimeSeriesArimaBC,Total,547357,7.5,122611,250046,450297,856807,1203226,Columbia River
Bonneville Lock & Dam,2025,TimeSeriesArimaNoBC,Age 3,19045,8.5,668,3182,15446,65990,212628,Columbia River
Bonneville Lock & Dam,2025,TimeSeriesArimaNoBC,Age 4,341019,4.166666666666667,73634,139238,278578,589346,993417,Columbia River
Bonneville Lock & Dam,2025,TimeSeriesArimaNoBC,Age 5,22946,5.5,4741,8650,18476,36518,65664,Columbia River
Bonneville Lock & Dam,2025,TimeSeriesArimaNoBC,Total,383011,3.5,108783,190822,338481,595076,790311,Columbia River
Bonneville Lock & Dam,2025,TimeSeriesExpSmoothBC,Age 3,29180,6,3802,8988,25639,67234,123795,Columbia River
Bonneville Lock & Dam,2025,TimeSeriesExpSmoothBC,Age 4,477833,6.833333333333333,88522,184875,430544,816998,1294537,Columbia River
Bonneville Lock & Dam,2025,TimeSeriesExpSmoothBC,Age 5,23920,7,5135,10200,22086,42394,77094,Columbia River
Bonneville Lock & Dam,2025,TimeSeriesExpSmoothBC,Total,530934,6.833333333333333,129145,242903,429134,784280,1175407,Columbia River
Bonneville Lock & Dam,2025,TimeSeriesExpSmoothNoBC,Age 3,13288,6.5,951,3136,9478,32856,69439,Columbia River
Bonneville Lock & Dam,2025,TimeSeriesExpSmoothNoBC,Age 4,365034,6,76102,147960,311637,634274,1011469,Columbia River
Bonneville Lock & Dam,2025,TimeSeriesExpSmoothNoBC,Age 5,19962,7,3466,7091,16162,38552,63537,Columbia River
Bonneville Lock & Dam,2025,TimeSeriesExpSmoothNoBC,Total,398284,6,112874,185444,320039,526450,767446,Columbia River
Bonneville Lock & Dam,2026,Naive4,Age 3,14650,4.833333333333333,1416,3841,11658,29909,57701,Columbia River
Bonneville Lock & Dam,2026,Naive4,Age 4,431659,6,86021,172145,369420,712493,1130567,Columbia River
Bonneville Lock & Dam,2026,Naive4,Age 5,31905,6.833333333333333,6167,11714,27471,55179,105109,Columbia River
Bonneville Lock & Dam,2026,Naive4,Total,478213,6,127496,235006,444898,727384,1040742,Columbia River
Bonneville Lock & Dam,2026,Naive8,Age 3,17245,2.3333333333333335,1776,5278,16988,40825,86891,Columbia River
Bonneville Lock & Dam,2026,Naive8,Age 4,295642,5.666666666666667,59375,119062,249179,495786,741220,Columbia River
Bonneville Lock & Dam,2026,Naive8,Age 5,19990,5.166666666666667,5217,8652,18329,36169,52744,Columbia River
Bonneville Lock & Dam,2026,Naive8,Total,332878,5.75,109725,181300,306418,477418,659808,Columbia River
Bonneville Lock & Dam,2026,SibRegSimple,Age 3,19998,3.1666666666666665,3037,6743,18388,42752,93546,Columbia River
Bonneville Lock & Dam,2026,SibRegSimple,Age 4,37432,3.8333333333333335,12075,19398,33831,57731,82673,Columbia River
Bonneville Lock & Dam,2026,SibRegSimple,Age 5,9392,2.8333333333333335,3755,5666,8315,12652,17341,Columbia River
Bonneville Lock & Dam,2026,SibRegSimple,Total,66822,4.5,30563,44894,65321,89640,112237,Columbia River
Bonneville Lock & Dam,2026,SibRegLogPower,Age 3,19998,3.1666666666666665,2171,5630,16840,42126,88188,Columbia River
Bonneville Lock & Dam,2026,SibRegLogPower,Age 4,103923,2.1666666666666665,40829,60340,90093,137110,182142,Columbia River
Bonneville Lock & Dam,2026,SibRegLogPower,Age 5,18610,4.166666666666667,8024,11616,17344,26128,35738,Columbia River
Bonneville Lock & Dam,2026,SibRegLogPower,Total,142532,2.25,72016,95285,129962,168910,208838,Columbia River
Bonneville Lock & Dam,2026,SibRegKalman,Age 3,19998,3.1666666666666665,2754,6804,16813,42717,86495,Columbia River
Bonneville Lock & Dam,2026,SibRegKalman,Age 4,195947,2.6666666666666665,61402,99766,172278,299401,437099,Columbia River
Bonneville Lock & Dam,2026,SibRegKalman,Age 5,14265,2,5211,7973,13020,20238,29852,Columbia River
Bonneville Lock & Dam,2026,SibRegKalman,Total,230210,2.4166666666666665,78200,131444,203937,308668,407833,Columbia River
Bonneville Lock & Dam,2026,TimeSeriesArimaBC,Age 3,53174,8,4733,11519,40708,123069,279063,Columbia River
Bonneville Lock & Dam,2026,TimeSeriesArimaBC,Age 4,436667,7.5,79643,156358,334062,715248,1304558,Columbia River
Bonneville Lock & Dam,2026,TimeSeriesArimaBC,Age 5,23620,4.333333333333333,5743,11140,22179,38318,62423,Columbia River
Bonneville Lock & Dam,2026,TimeSeriesArimaBC,Total,513461,7.5,127841,254010,463607,798742,1190354,Columbia River
Bonneville Lock & Dam,2026,TimeSeriesArimaNoBC,Age 3,16631,8.5,525,2062,9791,45839,127449,Columbia River
Bonneville Lock & Dam,2026,TimeSeriesArimaNoBC,Age 4,631157,4,150696,272303,550264,998175,1536480,Columbia River
Bonneville Lock & Dam,2026,TimeSeriesArimaNoBC,Age 5,27038,5.666666666666667,5402,11338,24595,49169,84873,Columbia River
Bonneville Lock & Dam,2026,TimeSeriesArimaNoBC,Total,674826,3.8333333333333335,178811,316842,587478,922461,1413923,Columbia River
Bonneville Lock & Dam,2026,TimeSeriesExpSmoothBC,Age 3,42874,6,3950,11799,32668,85752,164475,Columbia River
Bonneville Lock & Dam,2026,TimeSeriesExpSmoothBC,Age 4,431199,7.166666666666667,88609,200534,408586,745729,1272448,Columbia River
Bonneville Lock & Dam,2026,TimeSeriesExpSmoothBC,Age 5,28007,6.833333333333333,5571,11436,25478,51444,87761,Columbia River
Bonneville Lock & Dam,2026,TimeSeriesExpSmoothBC,Total,502080,7,111154,204426,418203,730530,1068270,Columbia River
Bonneville Lock & Dam,2026,TimeSeriesExpSmoothNoBC,Age 3,10652,5.833333333333333,815,2640,8655,28188,63134,Columbia River
Bonneville Lock & Dam,2026,TimeSeriesExpSmoothNoBC,Age 4,316171,6,50672,127760,284179,521536,905573,Columbia River
Bonneville Lock & Dam,2026,TimeSeriesExpSmoothNoBC,Age 5,21593,7.166666666666667,4466,8986,19318,35941,59525,Columbia River
Bonneville Lock & Dam,2026,TimeSeriesExpSmoothNoBC,Total,348416,5.75,90245,165186,313447,511284,778341,Columbia River
Okanagan,2021,Naive4,Age 3,10760,3.5,237,1212,6840,31064,120835,Columbia River
Okanagan,2021,Naive4,Age 4,120032,6.833333333333333,8082,27372,89262,301372,642616,Columbia River
Okanagan,2021,Naive4,Age 5,7814,5.166666666666667,1203,2872,7577,16907,33745,Columbia River
Okanagan,2021,Naive4,Total,138606,6.833333333333333,28549,60190,125024,221976,346177,Columbia River
Okanagan,2021,Naive8,Age 3,20404,7.833333333333333,1568,5283,16290,47863,108260,Columbia River
Okanagan,2021,Naive8,Age 4,193700,2.8333333333333335,21290,53246,150110,403382,891176,Columbia River
Okanagan,2021,Naive8,Age 5,8342,6.166666666666667,1196,2346,6636,14302,29485,Columbia River
Okanagan,2021,Naive8,Total,222447,2,69955,126136,210012,349862,522314,Columbia River
Okanagan,2021,SibRegSimple,Age 3,9059,2.1666666666666665,630,2286,7617,22387,51336,Columbia River
Okanagan,2021,SibRegSimple,Age 4,20539,3.8333333333333335,12771,15550,19888,24162,27712,Columbia River
Okanagan,2021,SibRegSimple,Age 5,10769,1.3333333333333333,9030,9832,10676,11684,12465,Columbia River
Okanagan,2021,SibRegSimple,Total,40368,3.8333333333333335,30568,34664,38978,43020,46696,Columbia River
Okanagan,2021,SibRegLogPower,Age 3,9059,2.3333333333333335,844,2134,7235,21320,57647,Columbia River
Okanagan,2021,SibRegLogPower,Age 4,83464,2.3333333333333335,29767,48726,77448,116920,155979,Columbia River
Okanagan,2021,SibRegLogPower,Age 5,12282,2.3333333333333335,3517,6564,11967,20995,32436,Columbia River
Okanagan,2021,SibRegLogPower,Total,104805,3.1666666666666665,99285,101474,103948,106305,108092,Columbia River
Okanagan,2021,SibRegKalman,Age 3,9059,2.5,490,1911,6627,22402,46819,Columbia River
Okanagan,2021,SibRegKalman,Age 4,105863,1.6666666666666667,14199,35587,87305,205622,391229,Columbia River
Okanagan,2021,SibRegKalman,Age 5,10968,3.3333333333333335,2603,4968,10335,19946,37576,Columbia River
Okanagan,2021,SibRegKalman,Total,125890,1.6666666666666667,56286,82713,115363,156402,197321,Columbia River
Okanagan,2021,TimeSeriesArimaBC,Age 3,13225,5.166666666666667,908,3304,10499,27516,61490,Columbia River
Okanagan,2021,TimeSeriesArimaBC,Age 4,160768,6.833333333333333,12625,38793,135287,415858,920947,Columbia River
Okanagan,2021,TimeSeriesArimaBC,Age 5,7805,5.166666666666667,1245,2995,6835,16094,29094,Columbia River
Okanagan,2021,TimeSeriesArimaBC,Total,181798,6.833333333333333,43149,84476,161506,272802,421113,Columbia River
Okanagan,2021,TimeSeriesArimaNoBC,Age 3,14862,7,1115,3117,10815,33324,71408,Columbia River
Okanagan,2021,TimeSeriesArimaNoBC,Age 4,157016,6,26471,58312,131500,300625,539851,Columbia River
Okanagan,2021,TimeSeriesArimaNoBC,Age 5,7298,4.5,1338,2717,5557,13904,25391,Columbia River
Okanagan,2021,TimeSeriesArimaNoBC,Total,179176,6.166666666666667,86274,117978,162930,223836,292213,Columbia River
Okanagan,2021,TimeSeriesExpSmoothBC,Age 3,13697,6.333333333333333,971,3164,10759,34900,84498,Columbia River
Okanagan,2021,TimeSeriesExpSmoothBC,Age 4,165010,8.833333333333334,10022,26368,111430,397107,871771,Columbia River
Okanagan,2021,TimeSeriesExpSmoothBC,Age 5,4426,8,495,1282,3982,10588,23168,Columbia River
Okanagan,2021,TimeSeriesExpSmoothBC,Total,183133,8.833333333333334,28818,66664,150849,316460,447011,Columbia River
Okanagan,2021,TimeSeriesExpSmoothNoBC,Age 3,12830,8.166666666666666,734,2266,9541,36162,105787,Columbia River
Okanagan,2021,TimeSeriesExpSmoothNoBC,Age 4,160865,5.833333333333333,11157,41140,128852,430174,865157,Columbia River
Okanagan,2021,TimeSeriesExpSmoothNoBC,Age 5,7376,9,652,1827,5654,16374,43895,Columbia River
Okanagan,2021,TimeSeriesExpSmoothNoBC,Total,181071,5.666666666666667,51249,91942,162038,284098,416724,Columbia River
Okanagan,2022,Naive4,Age 3,14960,4.166666666666667,619,1998,8977,41126,107779,Columbia River
Okanagan,2022,Naive4,Age 4,129273,5.666666666666667,15874,41331,113453,282386,626966,Columbia River
Okanagan,2022,Naive4,Age 5,7791,6.833333333333333,1189,2797,6816,15794,29643,Columbia River
Okanagan,2022,Naive4,Total,152024,6.083333333333333,45854,76050,130169,230786,314224,Columbia River
Okanagan,2022,Naive8,Age 3,19860,7.583333333333333,1856,4459,15423,52048,102392,Columbia River
Okanagan,2022,Naive8,Age 4,191526,5.916666666666667,28741,60867,156327,396814,684756,Columbia River
Okanagan,2022,Naive8,Age 5,7748,6.5,1125,2774,7215,15552,27039,Columbia River
Okanagan,2022,Naive8,Total,219134,6.166666666666667,73179,120761,200670,297181,403828,Columbia River
Okanagan,2022,SibRegSimple,Age 3,13944,3.6666666666666665,682,3086,9479,32404,78514,Columbia River
Okanagan,2022,SibRegSimple,Age 4,182376,4.666666666666667,108321,134466,173556,211238,257935,Columbia River
Okanagan,2022,SibRegSimple,Age 5,2683,1.1666666666666667,1608,2056,2572,3244,3918,Columbia River
Okanagan,2022,SibRegSimple,Total,199003,5,129241,158596,192296,224638,251207,Columbia River
Okanagan,2022,SibRegLogPower,Age 3,13944,3.6666666666666665,1009,3465,13013,43456,90473,Columbia River
Okanagan,2022,SibRegLogPower,Age 4,307769,2,129043,193858,294377,403126,531732,Columbia River
Okanagan,2022,SibRegLogPower,Age 5,6273,2.3333333333333335,1877,3534,5739,9464,12913,Columbia River
Okanagan,2022,SibRegLogPower,Total,327986,2.5833333333333335,275492,295184,317885,342336,357453,Columbia River
Okanagan,2022,SibRegKalman,Age 3,13944,3.6666666666666665,897,2556,9312,32216,69731,Columbia River
Okanagan,2022,SibRegKalman,Age 4,217357,1.8333333333333333,41097,86524,178184,361978,579760,Columbia River
Okanagan,2022,SibRegKalman,Age 5,5858,3.3333333333333335,1313,2444,5312,10074,15298,Columbia River
Okanagan,2022,SibRegKalman,Total,237159,1.1666666666666667,125767,165040,219304,291880,336765,Columbia River
Okanagan,2022,TimeSeriesArimaBC,Age 3,13837,4.583333333333333,918,3250,9350,26939,54378,Columbia River
Okanagan,2022,TimeSeriesArimaBC,Age 4,152887,6.416666666666667,15202,42029,127256,331330,625036,Columbia River
Okanagan,2022,TimeSeriesArimaBC,Age 5,7894,4.666666666666667,1271,2926,7476,17470,32640,Columbia River
Okanagan,2022,TimeSeriesArimaBC,Total,174618,6.5,52338,90668,150846,269212,400098,Columbia River
Okanagan,2022,TimeSeriesArimaNoBC,Age 3,15484,5.583333333333333,1165,4085,13524,37780,95594,Columbia River
Okanagan,2022,TimeSeriesArimaNoBC,Age 4,152236,4.833333333333333,36559,74706,161493,292750,480041,Columbia River
Okanagan,2022,TimeSeriesArimaNoBC,Age 5,7573,3.5,1433,3507,7588,16096,28784,Columbia River
Okanagan,2022,TimeSeriesArimaNoBC,Total,175293,5.5,83992,116224,158024,217156,266897,Columbia River
Okanagan,2022,TimeSeriesExpSmoothBC,Age 3,14333,4.75,1256,4286,14231,37346,97030,Columbia River
Okanagan,2022,TimeSeriesExpSmoothBC,Age 4,157253,7.75,14861,43476,130907,387603,834289,Columbia River
Okanagan,2022,TimeSeriesExpSmoothBC,Age 5,8033,8.166666666666666,958,2144,6879,19136,45095,Columbia River
Okanagan,2022,TimeSeriesExpSmoothBC,Total,179618,7.333333333333333,46286,80618,156765,278220,425499,Columbia River
Okanagan,2022,TimeSeriesExpSmoothNoBC,Age 3,17315,7.333333333333333,1136,4000,13608,45496,97929,Columbia River
Okanagan,2022,TimeSeriesExpSmoothNoBC,Age 4,152255,5.916666666666667,19231,48972,131713,339734,678025,Columbia River
Okanagan,2022,TimeSeriesExpSmoothNoBC,Age 5,11971,8.5,1179,2967,10637,26526,66152,Columbia River
Okanagan,2022,TimeSeriesExpSmoothNoBC,Total,181541,4.666666666666667,56920,105903,168580,242277,318652,Columbia River
Okanagan,2023,Naive4,Age 3,17854,4.583333333333333,1150,4064,13720,42524,100199,Columbia River
Okanagan,2023,Naive4,Age 4,209526,7.5,19181,45842,159307,423830,920485,Columbia River
Okanagan,2023,Naive4,Age 5,9266,6.583333333333333,1681,3669,8556,16549,30828,Columbia River
Okanagan,2023,Naive4,Total,236646,7.666666666666667,55241,99601,200907,360908,553966,Columbia River
Okanagan,2023,Naive8,Age 3,10594,8.5,1396,3200,8209,23964,46353,Columbia River
Okanagan,2023,Naive8,Age 4,202376,5,23301,56980,146047,366133,705638,Columbia River
Okanagan,2023,Naive8,Age 5,8556,6.416666666666667,1682,3772,8975,18616,30180,Columbia River
Okanagan,2023,Naive8,Total,221527,4,61511,113876,190031,330414,496437,Columbia River
Okanagan,2023,SibRegSimple,Age 3,14422,3.5,951,3384,10338,29432,67901,Columbia River
Okanagan,2023,SibRegSimple,Age 4,92103,4.833333333333333,57139,69203,86506,103688,120508,Columbia River
Okanagan,2023,SibRegSimple,Age 5,20204,2.8333333333333335,11875,15352,19808,23943,30391,Columbia River
Okanagan,2023,SibRegSimple,Total,126729,5.333333333333333,85558,103209,119868,142197,160878,Columbia River
