System,Stock,2021,2022,2023,2024,2025,2026
Columbia River,Bonneville Lock & Dam,60465,341277,162629,273111,172674,59134
Columbia River,Okanagan,46854,191551,114523,221489,122606,44167
Columbia River,Wenatchee,42784,43716,57100,201619,70789,53657
