System,Stock,Age,FC_Year,AvgRankByAge,ModelLabel,PointFC,p10,p25,p50,p75,p90
Columbia River,Bonneville Lock & Dam,Age 5,2024,2.8333333333333335,SibRegSimple,19891,7948,11658,18137,28967,36975
Columbia River,Bonneville Lock & Dam,Age 5,2024,4.166666666666667,SibRegLogPower,28151,9994,15664,26371,40272,60450
Columbia River,Bonneville Lock & Dam,Age 5,2025,2,SibRegKalman,49944,18966,31742,48220,74206,103790
Columbia River,Bonneville Lock & Dam,Age 5,2025,2.6666666666666665,SibRegSimple,57851,22038,34428,51007,78518,105875
Columbia River,Bonneville Lock & Dam,Age 5,2025,4.166666666666667,SibRegLogPower,53580,21581,31295,49255,73010,99231
Columbia River,Bonneville Lock & Dam,Age 5,2026,2,SibRegKalman,14265,5211,7973,13020,20238,29852
Columbia River,Bonneville Lock & Dam,Age 5,2026,2.8333333333333335,SibRegSimple,9392,3755,5666,8315,12652,17341
Columbia River,Bonneville Lock & Dam,Age 5,2026,4.166666666666667,SibRegLogPower,18610,8024,11616,17344,26128,35738
Columbia River,Bonneville Lock & Dam,Total,2021,2.3333333333333335,SibRegLogPower,128779,67659,90172,116755,150299,177842
Columbia River,Bonneville Lock & Dam,Total,2021,2.3333333333333335,SibRegKalman,183616,65353,110486,167434,254129,337434
Columbia River,Bonneville Lock & Dam,Total,2021,4.333333333333333,SibRegSimple,62013,26765,39222,57143,76968,101246
Columbia River,Bonneville Lock & Dam,Total,2022,2.3333333333333335,SibRegLogPower,394999,208964,273018,354156,479030,561749
Columbia River,Bonneville Lock & Dam,Total,2022,2.3333333333333335,SibRegKalman,366474,144397,218082,341677,501794,657922
Columbia River,Bonneville Lock & Dam,Total,2022,4.333333333333333,SibRegSimple,363715,139751,219970,339659,483670,614120
Columbia River,Bonneville Lock & Dam,Total,2022,4.333333333333333,TimeSeriesArimaNoBC,297352,83670,140154,262849,450278,623468
Columbia River,Bonneville Lock & Dam,Total,2023,2.1666666666666665,SibRegLogPower,269121,123914,183707,242112,310934,375133
Columbia River,Bonneville Lock & Dam,Total,2023,2.1666666666666665,SibRegKalman,278862,112706,172138,268664,393766,521207
Columbia River,Bonneville Lock & Dam,Total,2023,3.8333333333333335,TimeSeriesArimaNoBC,243773,75387,118330,202928,363957,526084
Columbia River,Bonneville Lock & Dam,Total,2024,2,SibRegKalman,374069,149635,232261,359006,519880,681208
Columbia River,Bonneville Lock & Dam,Total,2024,2.3333333333333335,SibRegLogPower,382566,200913,262372,348906,450716,547524
Columbia River,Bonneville Lock & Dam,Total,2024,4.166666666666667,TimeSeriesArimaNoBC,589378,156234,274087,467085,795634,1192636
Columbia River,Bonneville Lock & Dam,Total,2025,2,SibRegKalman,352021,136614,194040,307920,448854,597180
Columbia River,Bonneville Lock & Dam,Total,2025,2.3333333333333335,SibRegLogPower,277194,151159,194414,254736,338444,402874
Columbia River,Bonneville Lock & Dam,Total,2025,3.5,TimeSeriesArimaNoBC,383011,108783,190822,338481,595076,790311
Columbia River,Bonneville Lock & Dam,Total,2026,2.25,SibRegLogPower,142532,72016,95285,129962,168910,208838
Columbia River,Bonneville Lock & Dam,Total,2026,2.4166666666666665,SibRegKalman,230210,78200,131444,203937,308668,407833
Columbia River,Bonneville Lock & Dam,Total,2026,3.8333333333333335,TimeSeriesArimaNoBC,674826,178811,316842,587478,922461,1413923
Columbia River,Okanagan,Age 3,2021,2.1666666666666665,SibRegSimple,9059,630,2286,7617,22387,51336
Columbia River,Okanagan,Age 3,2021,2.3333333333333335,SibRegLogPower,9059,844,2134,7235,21320,57647
Columbia River,Okanagan,Age 3,2021,2.5,SibRegKalman,9059,490,1911,6627,22402,46819
Columbia River,Okanagan,Age 3,2022,3.6666666666666665,SibRegSimple,13944,682,3086,9479,32404,78514
Columbia River,Okanagan,Age 3,2022,3.6666666666666665,SibRegLogPower,13944,1009,3465,13013,43456,90473
Columbia River,Okanagan,Age 3,2022,3.6666666666666665,SibRegKalman,13944,897,2556,9312,32216,69731
Columbia River,Okanagan,Age 3,2023,3.5,SibRegSimple,14422,951,3384,10338,29432,67901
Columbia River,Okanagan,Age 3,2023,3.5,SibRegLogPower,14422,1258,3946,11142,30652,67175
Columbia River,Okanagan,Age 3,2023,3.5,SibRegKalman,14422,1375,3404,11278,32870,73894
Columbia River,Okanagan,Age 3,2023,3.5,TimeSeriesArimaBC,14454,1915,4345,12029,34500,64331
Columbia River,Okanagan,Age 3,2024,2.8333333333333335,Naive4,17886,1089,3786,13076,43546,101339
Columbia River,Okanagan,Age 3,2024,4,SibRegSimple,20200,1689,5138,15164,41796,80221
Columbia River,Okanagan,Age 3,2024,4,SibRegLogPower,20200,2450,5820,14795,46347,83724
Columbia River,Okanagan,Age 3,2024,4,SibRegKalman,20200,2001,5972,17492,42074,94238
Columbia River,Okanagan,Age 3,2025,2.6666666666666665,Naive4,19902,1298,3746,12710,40110,83241
Columbia River,Okanagan,Age 3,2025,3.9166666666666665,TimeSeriesExpSmoothBC,15835,2238,5462,14567,32680,58838
Columbia River,Okanagan,Age 3,2025,4.083333333333333,TimeSeriesArimaBC,15428,2772,5865,13290,28648,56882
Columbia River,Okanagan,Age 3,2026,2,TimeSeriesArimaBC,14519,2433,5128,12883,26862,44821
Columbia River,Okanagan,Age 3,2026,3.1666666666666665,TimeSeriesExpSmoothBC,14914,3130,5779,12799,29338,53579
Columbia River,Okanagan,Age 3,2026,4.333333333333333,SibRegSimple,16654,2097,5670,14156,31798,57519
Columbia River,Okanagan,Age 3,2026,4.333333333333333,SibRegLogPower,16654,1952,5368,14631,31833,63378
