System,Stock,Age,FC_Year,AvgRankByAge,ModelLabel,PointFC,p10,p25,p50,p75,p90
Bristol Bay,Alagnak,Age 3,2026,2.5833333333333335,TimeSeriesExpSmoothBC,1188,2,40,547,11166,81935
Bristol Bay,Alagnak,Age 3,2026,3.4166666666666665,TimeSeriesArimaBC,1170,3,50,849,11722,75197
Bristol Bay,Alagnak,Age 3,2026,3.6666666666666665,TimeSeriesArimaNoBC,18359,13,304,8673,227253,1685093
Bristol Bay,Alagnak,Age 3,2026,3.6666666666666665,TimeSeriesExpSmoothNoBC,18333,11,250,9838,142039,1661988
Bristol Bay,Alagnak,Age 4,2021,2.6666666666666665,TimeSeriesArimaNoBC,1481059,11110,105474,1279303,12012502,38638485
Bristol Bay,Alagnak,Age 4,2021,2.6666666666666665,TimeSeriesExpSmoothNoBC,666399,2932,27614,534816,4597566,21949594
Bristol Bay,Alagnak,Age 4,2021,2.9166666666666665,Naive4,1837863,9220,128322,1624556,11026678,44545706
Bristol Bay,Alagnak,Age 4,2022,2.5,Naive4,1749977,10735,97717,1054780,11323588,48517130
Bristol Bay,Alagnak,Age 4,2022,2.5,TimeSeriesArimaNoBC,1633393,8258,67334,774441,7679082,36347208
Bristol Bay,Alagnak,Age 4,2022,2.6666666666666665,TimeSeriesExpSmoothNoBC,718597,5442,59910,449602,3332672,19953253
Bristol Bay,Alagnak,Age 4,2023,2.5,Naive4,1625634,9852,79033,921433,6403388,33885162
Bristol Bay,Alagnak,Age 4,2023,2.5,TimeSeriesArimaNoBC,1536749,10885,120196,962197,9590198,48989465
Bristol Bay,Alagnak,Age 4,2023,2.5,TimeSeriesExpSmoothNoBC,727686,3209,44082,336746,3698584,18235481
Bristol Bay,Alagnak,Age 4,2024,2.5,TimeSeriesArimaNoBC,1366383,11116,118098,866089,7839426,25039555
Bristol Bay,Alagnak,Age 4,2024,2.5,TimeSeriesExpSmoothNoBC,717814,2917,27934,408741,4011082,23245207
Bristol Bay,Alagnak,Age 4,2024,2.8333333333333335,Naive4,1436702,13056,123958,1224601,10911624,68652533
Bristol Bay,Alagnak,Age 4,2025,2.5,Naive4,1843716,12017,94176,1148567,10369026,57630101
Bristol Bay,Alagnak,Age 4,2025,2.5,TimeSeriesArimaNoBC,1690313,14441,159894,1438369,10144484,37768317
Bristol Bay,Alagnak,Age 4,2025,2.5,TimeSeriesExpSmoothNoBC,808670,6489,48917,512610,4672800,19886898
Bristol Bay,Alagnak,Age 4,2026,2.5,TimeSeriesArimaNoBC,1500930,9657,90164,942733,9087164,37659559
Bristol Bay,Alagnak,Age 4,2026,2.5,TimeSeriesExpSmoothNoBC,799031,7079,47490,427657,4309018,19730434
Bristol Bay,Alagnak,Age 4,2026,2.8333333333333335,Naive4,1394420,16959,94288,1038396,7941414,40390771
Bristol Bay,Alagnak,Age 5,2021,1.3333333333333333,SibRegKalman,2193440,851753,1353329,2037233,3010820,4119970
Bristol Bay,Alagnak,Age 5,2021,3.25,TimeSeriesExpSmoothNoBC,1858381,487193,936256,1775446,2920024,4491473
Bristol Bay,Alagnak,Age 5,2021,3.4166666666666665,Naive8,2046120,764311,1218755,1980975,2918822,4012117
Bristol Bay,Alagnak,Age 5,2022,1.3333333333333333,SibRegKalman,2523565,1058847,1614894,2430678,3534209,4624651
Bristol Bay,Alagnak,Age 5,2022,3.0833333333333335,TimeSeriesExpSmoothNoBC,1936100,570843,1007542,1985835,3333372,4866481
Bristol Bay,Alagnak,Age 5,2022,3.4166666666666665,Naive8,2260826,744522,1239592,2135995,3314004,4603714
Bristol Bay,Alagnak,Age 5,2023,1.3333333333333333,SibRegKalman,2001440,749361,1171522,1719439,2562418,3412444
Bristol Bay,Alagnak,Age 5,2023,3.3333333333333335,Naive8,2578293,819578,1445058,2291335,3611358,5159464
Bristol Bay,Alagnak,Age 5,2023,3.3333333333333335,TimeSeriesExpSmoothNoBC,2028108,564224,923808,1771247,3279676,5176849
Bristol Bay,Alagnak,Age 5,2024,1.3333333333333333,SibRegKalman,1590145,639385,945401,1429581,2196617,2852938
Bristol Bay,Alagnak,Age 5,2024,3.0833333333333335,TimeSeriesExpSmoothNoBC,1993219,558995,941453,1649989,3029212,4230558
Bristol Bay,Alagnak,Age 5,2024,3.5,Naive8,2107059,745717,1193776,2012838,3199674,4315527
Bristol Bay,Alagnak,Age 5,2025,1.3333333333333333,SibRegKalman,3127534,1246655,1973325,2934608,4017130,5298606
Bristol Bay,Alagnak,Age 5,2025,3.25,TimeSeriesExpSmoothNoBC,1944049,558183,953730,1696212,2886446,4136015
Bristol Bay,Alagnak,Age 5,2025,3.6666666666666665,Naive8,1833012,617233,985558,1693696,2708456,3822523
Bristol Bay,Alagnak,Age 5,2026,1.5,SibRegKalman,1628070,615452,972077,1507890,2252022,2802694
Bristol Bay,Alagnak,Age 5,2026,3.5,TimeSeriesExpSmoothNoBC,2132270,688755,1068900,1822136,3198426,4537817
Bristol Bay,Alagnak,Age 5,2026,3.6666666666666665,Naive8,2261360,863222,1282602,2060207,3134541,4432227
Bristol Bay,Alagnak,Age 6,2021,3,SibRegSimple,276207,2942,21534,206667,1537992,6413186
Bristol Bay,Alagnak,Age 6,2021,3.6666666666666665,TimeSeriesArimaBC,42575,420,4086,38490,363520,1717756
Bristol Bay,Alagnak,Age 6,2021,3.8333333333333335,Naive4,21751,206,1780,18436,139546,687332
Bristol Bay,Alagnak,Age 6,2022,2.8333333333333335,SibRegSimple,339026,3063,19392,195951,1531905,7296588
Bristol Bay,Alagnak,Age 6,2022,3.75,SibRegKalman,296646,4747,29244,265203,1765312,6912879
Bristol Bay,Alagnak,Age 6,2022,3.8333333333333335,Naive4,194386,1585,10916,145435,1427821,5445620
Bristol Bay,Alagnak,Age 6,2023,2.8333333333333335,SibRegSimple,359823,2912,22876,167467,1749698,7224574
Bristol Bay,Alagnak,Age 6,2023,3.75,SibRegKalman,305964,3186,21232,189711,1306642,6015190
Bristol Bay,Alagnak,Age 6,2023,3.8333333333333335,Naive4,230952,2848,15370,146603,1062802,3823660
Bristol Bay,Alagnak,Age 6,2024,2.6666666666666665,SibRegSimple,142827,1612,9503,84871,538562,1978909
Bristol Bay,Alagnak,Age 6,2024,3.5833333333333335,SibRegKalman,183751,2445,17434,128079,887822,4257310
Bristol Bay,Alagnak,Age 6,2024,4,Naive4,440867,5633,48968,325616,3290318,12757639
Bristol Bay,Alagnak,Age 6,2024,4,TimeSeriesExpSmoothNoBC,195544,1421,15558,121038,805709,3757266
Bristol Bay,Alagnak,Age 6,2025,2.6666666666666665,SibRegSimple,98083,1075,8971,75877,551333,2179786
Bristol Bay,Alagnak,Age 6,2025,3.1666666666666665,SibRegKalman,152065,3223,14642,116966,760788,3238296
Bristol Bay,Alagnak,Age 6,2025,3.6666666666666665,Naive4,447432,6980,33085,249815,1398423,5351510
Bristol Bay,Alagnak,Age 6,2026,2.6666666666666665,SibRegSimple,600933,4593,40366,379493,2576232,8842856
Bristol Bay,Alagnak,Age 6,2026,3.25,SibRegKalman,478539,4810,37644,316329,2387779,10701714
Bristol Bay,Alagnak,Age 6,2026,3.6666666666666665,Naive4,378301,6738,36770,285457,2345878,8520607
Bristol Bay,Alagnak,Total,2021,2,SibRegKalman,3099460,1352551,1990326,2895847,3830580,4779609
Bristol Bay,Alagnak,Total,2021,3,TimeSeriesArimaNoBC,3574862,1312203,2113523,3233636,4926692,6247825
Bristol Bay,Alagnak,Total,2021,3.1666666666666665,Naive4,3430002,1272147,1881418,3149265,4733570,6125924
Bristol Bay,Alagnak,Total,2022,2,SibRegKalman,3517729,1331735,2151276,3168579,4662863,5983447
Bristol Bay,Alagnak,Total,2022,2.5833333333333335,TimeSeriesArimaNoBC,4139877,1364474,2395212,3628556,5336952,6733342
Bristol Bay,Alagnak,Total,2022,2.9166666666666665,Naive4,3853503,1499364,2292643,3631303,5192462,6921172
Bristol Bay,Alagnak,Total,2023,2,SibRegKalman,2989604,1293064,1853479,2634127,3608147,4556340
Bristol Bay,Alagnak,Total,2023,2.4166666666666665,TimeSeriesArimaNoBC,4121537,1526589,2485419,3810267,5297238,6877214
Bristol Bay,Alagnak,Total,2023,2.9166666666666665,Naive4,4295042,1673916,2442260,3779780,5603256,7279346
Bristol Bay,Alagnak,Total,2024,1.8333333333333333,SibRegKalman,2461355,990270,1523541,2261993,3166209,3858530
Bristol Bay,Alagnak,Total,2024,2.25,TimeSeriesArimaNoBC,3834209,1419965,2216434,3341954,4935020,6343943
Bristol Bay,Alagnak,Total,2024,3.0833333333333335,Naive4,4466122,1621864,2576610,4134838,6047472,7648753
Bristol Bay,Alagnak,Total,2025,1.8333333333333333,SibRegKalman,4016249,1718714,2677057,3699056,4912501,6219424
Bristol Bay,Alagnak,Total,2025,2.5,TimeSeriesArimaNoBC,3891309,1513580,2312270,3367221,4852131,6295794
Bristol Bay,Alagnak,Total,2025,2.8333333333333335,Naive4,4409578,1446630,2487960,3961715,5616022,7013039
Bristol Bay,Alagnak,Total,2026,1.8333333333333333,SibRegKalman,2832475,1180601,1758316,2510624,3422317,4398268
Bristol Bay,Alagnak,Total,2026,2.5,TimeSeriesArimaNoBC,5001606,1901862,2992360,4514212,6487183,8783237
Bristol Bay,Alagnak,Total,2026,2.8333333333333335,Naive4,4393238,1671805,2557647,4013259,5976382,7924795
Bristol Bay,Egegik,Age 3,2021,2.8333333333333335,Naive4,152167,1745,10857,82818,502086,1578954
Bristol Bay,Egegik,Age 3,2021,4,TimeSeriesExpSmoothBC,269934,1703,18538,189312,1648920,6260560
Bristol Bay,Egegik,Age 3,2021,4.083333333333333,SibRegSimple,154162,2843,15318,130636,676915,2535494
Bristol Bay,Egegik,Age 3,2021,4.083333333333333,SibRegLogPower,154162,1657,16680,111724,720100,1955086
Bristol Bay,Egegik,Age 3,2021,4.083333333333333,SibRegKalman,154162,3609,13892,97721,631140,2629031
Bristol Bay,Egegik,Age 3,2022,3.25,TimeSeriesExpSmoothBC,457443,4270,29891,237133,1955006,7342625
Bristol Bay,Egegik,Age 3,2022,3.8333333333333335,Naive4,200130,2605,19371,106888,718350,3315389
Bristol Bay,Egegik,Age 3,2022,4.083333333333333,TimeSeriesArimaBC,471605,5673,50606,310455,2785200,13323994
Bristol Bay,Egegik,Age 3,2023,3,Naive4,135479,1972,18938,117987,563650,2172261
Bristol Bay,Egegik,Age 3,2023,3.1666666666666665,SibRegSimple,167439,3306,18506,123966,846306,3108223
Bristol Bay,Egegik,Age 3,2023,3.1666666666666665,SibRegLogPower,167439,1465,12400,110719,718949,2273842
Bristol Bay,Egegik,Age 3,2023,3.1666666666666665,SibRegKalman,167439,2582,13678,102469,735014,2504935
Bristol Bay,Egegik,Age 3,2024,2.5,Naive4,150953,3483,20520,119674,551163,1745854
Bristol Bay,Egegik,Age 3,2024,3.1666666666666665,SibRegSimple,126641,1457,11462,94092,553894,2229799
Bristol Bay,Egegik,Age 3,2024,3.1666666666666665,SibRegLogPower,126641,2185,12566,67758,358004,1101625
Bristol Bay,Egegik,Age 3,2024,3.1666666666666665,SibRegKalman,126641,2261,12348,72819,399202,1279031
Bristol Bay,Egegik,Age 3,2025,3,Naive4,110708,1904,10563,66017,389520,1095543
Bristol Bay,Egegik,Age 3,2025,3,SibRegSimple,124910,1517,13552,85560,614858,1808066
Bristol Bay,Egegik,Age 3,2025,3,SibRegLogPower,124910,1495,9935,73329,555326,1812260
Bristol Bay,Egegik,Age 3,2025,3,SibRegKalman,124910,1570,12348,79850,528868,2157615
Bristol Bay,Egegik,Age 3,2026,3,Naive4,59494,829,4334,31403,166292,645354
Bristol Bay,Egegik,Age 3,2026,3,SibRegSimple,106423,1808,9078,64048,338635,1049024
Bristol Bay,Egegik,Age 3,2026,3,SibRegLogPower,106423,2230,11820,72322,430826,1447258
Bristol Bay,Egegik,Age 3,2026,3,SibRegKalman,106423,2325,10470,77994,450112,1496228
Bristol Bay,Egegik,Age 4,2021,2.3333333333333335,SibRegKalman,6249958,1277947,2779707,5556060,10043694,16015362
Bristol Bay,Egegik,Age 4,2021,3.4166666666666665,Naive8,2911458,476002,994956,2662187,5291632,8737101
Bristol Bay,Egegik,Age 4,2021,3.75,Naive4,4685256,845128,1796364,3625803,7603086,12772857
Bristol Bay,Egegik,Age 4,2022,2.1666666666666665,SibRegKalman,9221096,2015341,3525914,7683749,16283962,25592843
Bristol Bay,Egegik,Age 4,2022,3.5,Naive4,5022121,1022091,2054718,4920951,9323824,16488504
Bristol Bay,Egegik,Age 4,2022,3.8333333333333335,Naive8,3394916,662443,1428908,3126965,6460752,9573967
Bristol Bay,Egegik,Age 4,2022,3.8333333333333335,TimeSeriesExpSmoothNoBC,4356241,794770,1696986,3437284,7190541,11470736
Bristol Bay,Egegik,Age 4,2023,2.6666666666666665,SibRegKalman,1396694,269735,517403,1098175,1995002,3097512
Bristol Bay,Egegik,Age 4,2023,3.1666666666666665,Naive4,5957058,1053033,2227936,4590438,9183802,15253508
Bristol Bay,Egegik,Age 4,2023,3.75,TimeSeriesExpSmoothNoBC,5212619,1011861,2068662,4857545,9221020,14049943
Bristol Bay,Egegik,Age 4,2024,2.3333333333333335,SibRegKalman,2793053,660670,1251826,2517215,4708934,6920595
Bristol Bay,Egegik,Age 4,2024,3.1666666666666665,Naive4,3153428,584087,1208612,2521319,5328129,8948631
Bristol Bay,Egegik,Age 4,2024,3.5,TimeSeriesExpSmoothNoBC,2665475,593804,1261434,2611239,5218029,9394044
Bristol Bay,Egegik,Age 4,2025,2.3333333333333335,SibRegKalman,965898,225454,414228,840341,1560398,2414597
Bristol Bay,Egegik,Age 4,2025,3.25,Naive4,3353505,752946,1421960,2958034,5948196,9600055
Bristol Bay,Egegik,Age 4,2025,3.25,TimeSeriesExpSmoothNoBC,2672765,476004,951644,2044839,4543344,7643109
Bristol Bay,Egegik,Age 4,2026,2.3333333333333335,SibRegKalman,2737090,634527,1208726,2618094,4824138,7165663
Bristol Bay,Egegik,Age 4,2026,3,Naive4,2486447,395319,881534,1845912,4322033,7283950
Bristol Bay,Egegik,Age 4,2026,3,TimeSeriesExpSmoothNoBC,1634854,313115,634362,1285610,2845028,4880736
Bristol Bay,Egegik,Age 5,2021,2.6666666666666665,TimeSeriesExpSmoothNoBC,6342883,2319364,3917541,6104180,8655400,11495198
Bristol Bay,Egegik,Age 5,2021,3.0833333333333335,SibRegLogPower,6186350,2234710,3465447,5604930,8208142,11167734
Bristol Bay,Egegik,Age 5,2021,4.333333333333333,Naive4,6257823,2263939,3687773,5405073,7870007,10501684
Bristol Bay,Egegik,Age 5,2022,2.6666666666666665,TimeSeriesExpSmoothNoBC,5364550,2024312,3119581,4736970,7218897,9446424
Bristol Bay,Egegik,Age 5,2022,2.75,SibRegLogPower,7245318,2986305,4132763,6276036,9711278,13348147
Bristol Bay,Egegik,Age 5,2022,4.25,Naive4,5368428,2129155,3148302,4835620,7585140,10509074
Bristol Bay,Egegik,Age 5,2023,2.6666666666666665,SibRegLogPower,8065488,2972587,4437141,7143991,11186008,14937724
Bristol Bay,Egegik,Age 5,2023,2.9166666666666665,TimeSeriesExpSmoothNoBC,6880105,2517426,4001360,5947152,9228538,12468693
Bristol Bay,Egegik,Age 5,2023,4.25,Naive4,7615728,3020866,4370805,7238873,10630286,14512188
Bristol Bay,Egegik,Age 5,2024,2.75,SibRegLogPower,4319428,1654779,2461098,3608864,5750390,7989520
Bristol Bay,Egegik,Age 5,2024,2.8333333333333335,TimeSeriesExpSmoothNoBC,7008004,2559442,3968265,6472509,9876214,13383792
Bristol Bay,Egegik,Age 5,2024,4.166666666666667,Naive4,8658920,3378730,5227398,7362380,10572716,14639659
Bristol Bay,Egegik,Age 5,2025,2.3333333333333335,SibRegLogPower,6651196,2606624,4029287,6267397,9257294,12100300
Bristol Bay,Egegik,Age 5,2025,3.1666666666666665,TimeSeriesExpSmoothNoBC,5586551,1908935,3070118,4820481,7287921,9992081
Bristol Bay,Egegik,Age 5,2025,3.5,SibRegKalman,4965747,2018469,2854854,4603733,6399597,8633433
Bristol Bay,Egegik,Age 5,2026,2.5,SibRegLogPower,5057524,1942545,3019025,4525182,6657718,9334191
Bristol Bay,Egegik,Age 5,2026,3.0833333333333335,SibRegKalman,3455068,1399281,1961107,2994357,4413112,5998788
Bristol Bay,Egegik,Age 5,2026,3.1666666666666665,TimeSeriesExpSmoothNoBC,6013544,2170072,3349686,5552317,8317424,11297911
Bristol Bay,Egegik,Age 6,2021,1.8333333333333333,SibRegKalman,7151284,2548116,4007722,5996240,9119384,12188784
Bristol Bay,Egegik,Age 6,2021,2.5,SibRegSimple,7059339,3057388,4387147,6640726,9679620,13215567
Bristol Bay,Egegik,Age 6,2021,3.3333333333333335,SibRegLogPower,5160728,2140648,3137600,4681079,6991558,9163216
Bristol Bay,Egegik,Age 6,2022,3.5,Naive4,529782,204492,308658,486771,748378,1057002
Bristol Bay,Egegik,Age 6,2022,4,TimeSeriesExpSmoothNoBC,697000,268132,413500,667369,1006366,1434255
Bristol Bay,Egegik,Age 6,2022,4.166666666666667,TimeSeriesArimaBC,569923,200675,351972,535017,852279,1162096
Bristol Bay,Egegik,Age 6,2023,3.4166666666666665,Naive4,428995,148135,240218,403759,641196,964532
Bristol Bay,Egegik,Age 6,2023,4.166666666666667,SibRegLogPower,4109387,1494457,2312836,4044453,6489834,9179087
Bristol Bay,Egegik,Age 6,2023,4.166666666666667,TimeSeriesExpSmoothNoBC,688983,229013,344701,613000,1000341,1506990
Bristol Bay,Egegik,Age 6,2024,3.4166666666666665,Naive4,2019601,615940,1086029,1873185,3209796,5041350
Bristol Bay,Egegik,Age 6,2024,3.9166666666666665,TimeSeriesArimaBC,2378187,690309,1321838,2173381,3756548,5447736
Bristol Bay,Egegik,Age 6,2024,4.583333333333333,SibRegKalman,3564154,1234511,2132916,3614830,5496853,7865228
Bristol Bay,Egegik,Age 6,2025,3,Naive4,2121616,777061,1167894,2027556,3380244,4997590
Bristol Bay,Egegik,Age 6,2025,3.6666666666666665,TimeSeriesArimaBC,1263931,377575,649625,1210954,2136392,3107055
Bristol Bay,Egegik,Age 6,2025,4.25,SibRegLogPower,1001304,323061,534149,907316,1531065,2235795
Bristol Bay,Egegik,Age 6,2026,3.1666666666666665,Naive4,2218753,656197,1215100,2144156,3594567,5318759
Bristol Bay,Egegik,Age 6,2026,3.5,TimeSeriesArimaBC,1122072,291382,485842,900000,1508498,2152080
Bristol Bay,Egegik,Age 6,2026,4.333333333333333,SibRegLogPower,3074098,1096015,1795798,2733871,4487898,6258920
Bristol Bay,Egegik,Total,2021,2.5,Naive4,12385448,6099617,8302710,11605922,15104966,17937497
Bristol Bay,Egegik,Total,2021,2.6666666666666665,TimeSeriesExpSmoothNoBC,11765814,5591020,8017994,11183787,14298708,17543906
Bristol Bay,Egegik,Total,2021,2.75,TimeSeriesArimaBC,10498164,4645023,6806442,9917788,13105492,16045249
Bristol Bay,Egegik,Total,2022,2.25,TimeSeriesArimaBC,13324850,6023940,8552486,11891938,16211844,21010351
Bristol Bay,Egegik,Total,2022,2.5,Naive4,11120462,5393649,7663536,10237491,13400126,16497857
Bristol Bay,Egegik,Total,2022,2.5,TimeSeriesExpSmoothNoBC,10428079,4878121,6788879,9664824,12523450,15390957
Bristol Bay,Egegik,Total,2023,2,TimeSeriesArimaBC,14579114,6452098,9945718,13979905,18296179,23334566
Bristol Bay,Egegik,Total,2023,2.4166666666666665,Naive4,14137260,6813338,9192582,13155184,17060502,21172545
Bristol Bay,Egegik,Total,2023,3,TimeSeriesExpSmoothNoBC,12791995,5922859,8387346,11842634,15405054,18465742
Bristol Bay,Egegik,Total,2024,2,TimeSeriesArimaBC,12666079,6109062,8474549,12055388,16158544,19373611
Bristol Bay,Egegik,Total,2024,2.1666666666666665,Naive4,13982902,6291346,9460028,12832929,16862782,20704786
Bristol Bay,Egegik,Total,2024,3.3333333333333335,TimeSeriesExpSmoothNoBC,11461724,5650514,8017314,10841907,13702265,17021795
Bristol Bay,Egegik,Total,2025,2.0833333333333335,TimeSeriesArimaBC,11972930,5745162,8152596,11476647,14841568,19292399
Bristol Bay,Egegik,Total,2025,2.3333333333333335,TimeSeriesExpSmoothNoBC,10082800,4807118,7117098,9612369,12386131,14909700
Bristol Bay,Egegik,Total,2025,2.6666666666666665,Naive4,11238906,5300440,7296297,10192990,13372399,16563227
Bristol Bay,Egegik,Total,2026,2.1666666666666665,TimeSeriesArimaBC,10193694,4606402,6953050,9571205,12704860,15584236
Bristol Bay,Egegik,Total,2026,2.25,TimeSeriesExpSmoothNoBC,9430535,5004174,6478844,8859203,11114386,14273111
Bristol Bay,Egegik,Total,2026,2.6666666666666665,Naive4,11626871,5317047,7900275,10978903,14507836,18063698
Bristol Bay,Igushik,Age 3,2021,2.5,Naive4,1173,25,178,901,4744,16637
Bristol Bay,Igushik,Age 3,2021,3.1666666666666665,TimeSeriesExpSmoothBC,499,11,78,416,1845,6181
Bristol Bay,Igushik,Age 3,2021,3.8333333333333335,TimeSeriesArimaBC,52,0,3,23,148,531
Bristol Bay,Igushik,Age 3,2022,2.3333333333333335,Naive4,732,7,60,348,2382,8258
Bristol Bay,Igushik,Age 3,2022,3.1666666666666665,TimeSeriesArimaBC,33,0,4,35,166,505
Bristol Bay,Igushik,Age 3,2022,3.8333333333333335,TimeSeriesExpSmoothBC,34,-0,3,25,146,411
Bristol Bay,Igushik,Age 3,2023,2.3333333333333335,Naive4,898,11,104,783,4034,15046
Bristol Bay,Igushik,Age 3,2023,3.3333333333333335,TimeSeriesArimaBC,54,0,6,36,208,736
Bristol Bay,Igushik,Age 3,2023,4,TimeSeriesExpSmoothBC,308,6,30,207,1185,3914
Bristol Bay,Igushik,Age 3,2024,2.8333333333333335,Naive4,686,8,56,492,2948,10872
Bristol Bay,Igushik,Age 3,2024,3.1666666666666665,TimeSeriesArimaBC,35,0,2,18,110,368
Bristol Bay,Igushik,Age 3,2024,4,TimeSeriesExpSmoothBC,36,0,3,22,136,352
Bristol Bay,Igushik,Age 3,2025,3,Naive4,765,11,70,487,3278,11009
Bristol Bay,Igushik,Age 3,2025,3.3333333333333335,TimeSeriesArimaBC,50,-0,5,37,228,714
Bristol Bay,Igushik,Age 3,2025,4,TimeSeriesExpSmoothBC,299,6,36,229,1094,4255
Bristol Bay,Igushik,Age 3,2026,3.6666666666666665,TimeSeriesArimaBC,50,0,4,32,176,657
Bristol Bay,Igushik,Age 3,2026,3.75,Naive4,1039,10,112,730,3753,15813
Bristol Bay,Igushik,Age 3,2026,3.8333333333333335,TimeSeriesExpSmoothBC,536,12,58,356,2137,6918
Bristol Bay,Igushik,Age 4,2021,2.6666666666666665,TimeSeriesArimaBC,581060,102633,206769,451838,949982,1474243
Bristol Bay,Igushik,Age 4,2021,3.3333333333333335,Naive8,500442,89023,201056,463012,973136,1719538
Bristol Bay,Igushik,Age 4,2021,4.75,SibRegKalman,527116,95418,207212,450902,958485,1779947
Bristol Bay,Igushik,Age 4,2022,2.6666666666666665,TimeSeriesArimaBC,715132,157268,290076,570023,1050962,1686770
Bristol Bay,Igushik,Age 4,2022,3.3333333333333335,Naive8,610708,106218,220978,501441,979441,1789614
Bristol Bay,Igushik,Age 4,2022,4.333333333333333,SibRegKalman,526103,100264,213251,427290,873046,1490238
Bristol Bay,Igushik,Age 4,2023,2.5,TimeSeriesArimaBC,756984,139328,284181,612704,1223969,2151076
Bristol Bay,Igushik,Age 4,2023,3.3333333333333335,Naive8,622784,103230,244705,494079,989559,1710907
Bristol Bay,Igushik,Age 4,2023,4.25,Naive4,616772,116049,225458,522135,1045843,1843604
Bristol Bay,Igushik,Age 4,2024,2.3333333333333335,TimeSeriesArimaBC,658332,139283,306636,564021,1034795,1678613
Bristol Bay,Igushik,Age 4,2024,3.3333333333333335,Naive8,597268,101050,215476,474094,1057883,1731368
Bristol Bay,Igushik,Age 4,2024,4.583333333333333,SibRegKalman,510543,81234,191042,485613,993454,1660952
Bristol Bay,Igushik,Age 4,2025,2.3333333333333335,TimeSeriesArimaBC,819771,187417,360128,688429,1287465,2303301
Bristol Bay,Igushik,Age 4,2025,3.3333333333333335,Naive8,693182,124035,267611,553387,1172769,1807328
Bristol Bay,Igushik,Age 4,2025,4.083333333333333,Naive4,778807,162262,320382,696483,1528512,2397310
Bristol Bay,Igushik,Age 4,2026,2.5,TimeSeriesArimaBC,656414,151531,297568,593165,1116148,1671970
Bristol Bay,Igushik,Age 4,2026,3.1666666666666665,Naive8,600390,124032,283712,520094,1062570,1850599
Bristol Bay,Igushik,Age 4,2026,4.416666666666667,Naive4,566389,103529,223344,497580,993728,1563137
Bristol Bay,Igushik,Age 5,2021,2,SibRegLogPower,951206,367347,557565,894931,1344078,1789684
Bristol Bay,Igushik,Age 5,2021,2.6666666666666665,SibRegKalman,1022783,408534,592770,940652,1404651,1968786
Bristol Bay,Igushik,Age 5,2021,3.6666666666666665,Naive8,904792,342786,522314,821646,1323644,1894526
Bristol Bay,Igushik,Age 5,2022,2,SibRegLogPower,1182122,430446,715415,1077194,1639936,2133329
Bristol Bay,Igushik,Age 5,2022,2.6666666666666665,SibRegKalman,1601061,646735,913532,1419637,2142782,2838533
Bristol Bay,Igushik,Age 5,2022,3.5,Naive8,953792,332445,555993,871919,1477816,2042475
