System,Stock,Age,FC_Year,AvgRankByAge,ModelLabel,PointFC,p10,p25,p50,p75,p90
Bristol Bay,Alagnak,Age 3,2021,2.75,TimeSeriesExpSmoothBC,1468,4,66,928,11197,69388
Bristol Bay,Alagnak,Age 3,2021,3.25,TimeSeriesArimaBC,1447,2,59,595,10964,85376
Bristol Bay,Alagnak,Age 3,2021,3.6666666666666665,TimeSeriesArimaNoBC,19698,8,359,12932,272808,2453007
Bristol Bay,Alagnak,Age 3,2021,3.6666666666666665,TimeSeriesExpSmoothNoBC,19696,11,416,8006,209996,2257076
Bristol Bay,Alagnak,Age 3,2022,2.75,TimeSeriesExpSmoothBC,1078,4,36,457,7834,49897
Bristol Bay,Alagnak,Age 3,2022,3.25,TimeSeriesArimaBC,1061,2,36,707,9144,46618
Bristol Bay,Alagnak,Age 3,2022,3.6666666666666665,TimeSeriesArimaNoBC,19364,10,308,12484,199452,2107966
Bristol Bay,Alagnak,Age 3,2022,3.6666666666666665,TimeSeriesExpSmoothNoBC,12410,26,278,5395,174238,1062982
Bristol Bay,Alagnak,Age 3,2023,2.75,TimeSeriesExpSmoothBC,1456,2,52,829,14370,74790
Bristol Bay,Alagnak,Age 3,2023,3.25,TimeSeriesArimaBC,1431,2,38,557,10040,74669
Bristol Bay,Alagnak,Age 3,2023,3.6666666666666665,TimeSeriesArimaNoBC,19176,20,339,9892,218894,2152993
Bristol Bay,Alagnak,Age 3,2023,3.6666666666666665,TimeSeriesExpSmoothNoBC,19170,15,504,11691,207340,1589731
Bristol Bay,Alagnak,Age 3,2024,2.5833333333333335,TimeSeriesExpSmoothBC,1179,3,66,699,8111,46344
Bristol Bay,Alagnak,Age 3,2024,3.4166666666666665,TimeSeriesArimaBC,1162,3,52,898,13744,68352
Bristol Bay,Alagnak,Age 3,2024,3.6666666666666665,TimeSeriesArimaNoBC,18885,16,363,11037,255180,1849585
Bristol Bay,Alagnak,Age 3,2024,3.6666666666666665,TimeSeriesExpSmoothNoBC,11819,11,196,7910,153172,1150283
Bristol Bay,Alagnak,Age 3,2025,2.5833333333333335,TimeSeriesExpSmoothBC,1397,3,56,672,8994,58114
Bristol Bay,Alagnak,Age 3,2025,3.4166666666666665,TimeSeriesArimaBC,1377,2,45,557,9446,55161
Bristol Bay,Alagnak,Age 3,2025,3.6666666666666665,TimeSeriesArimaNoBC,18580,15,352,10754,185612,1228588
Bristol Bay,Alagnak,Age 3,2025,3.6666666666666665,TimeSeriesExpSmoothNoBC,11495,9,195,5726,112241,1045567
